iter	RMSE
647	0.2861778055
648	0.285996896
649	0.2857243942
650	0.2855576931
651	0.28516261
652	0.2850216407
653	0.2847798574
654	0.2846607207
655	0.2844396035
656	0.2842959907
657	0.2841103773
658	0.2840004358
659	0.2838115342
660	0.2836352471
661	0.2832977239
662	0.2831032887
663	0.282815321
664	0.2825974634
665	0.2822869333
666	0.2821285174
667	0.2818910379
668	0.2817283716
669	0.2815892568
670	0.2813955099
671	0.2812559073
672	0.2809173864
673	0.280828569
674	0.2805835116
675	0.280378503
676	0.2800986943
677	0.2798755938
678	0.2796584683
679	0.2794414264
680	0.2793433906
681	0.2790474189
682	0.2788398634
683	0.2784708423
684	0.2782524198
685	0.2780691503
686	0.2778531117
687	0.2774986194
688	0.2772364068
689	0.2770541164
690	0.2768150189
691	0.2765853795
692	0.2763852997
693	0.2761478357
694	0.2761051297
695	0.2758029497
696	0.2755508963
697	0.2752336419
698	0.2751417121
699	0.2749130633
700	0.2746183638
701	0.2743485898
702	0.2741274205
703	0.2738385272
704	0.2735796357
705	0.2733712304
706	0.2730419226
707	0.2727944978
708	0.2725338337
709	0.2722373013
710	0.2721244588
711	0.2718142626
712	0.2715995254
713	0.2713050958
714	0.2711695306
715	0.271036799
716	0.2707694839
717	0.2704558796
718	0.270193584
719	0.2699267148
720	0.2697587656
721	0.269634302
722	0.2694670748
723	0.2692754728
724	0.269072065
725	0.2689435226
726	0.268734614
727	0.2685745444
728	0.2682450057
729	0.2678920956
730	0.2677538841
731	0.2675383061
732	0.2672587037
733	0.2671202542
734	0.2668879174
735	0.2666849787
736	0.2664203401
737	0.266286142
738	0.2660704098
739	0.2658000227
740	0.2656024438
741	0.2654492714
742	0.2653244395
743	0.2650590873
744	0.2648930674
745	0.2647094711
746	0.2644772759
747	0.2642756534
748	0.2639508831
749	0.2638353532
750	0.2637414886
751	0.2635994995
752	0.263458084
753	0.2632214552
754	0.2630578996
755	0.2628289686
756	0.2626685502
757	0.2624993988
758	0.2621921009
759	0.2619892244
760	0.2618526875
761	0.2617059274
762	0.2616005166
763	0.2613304633
764	0.2611823154
765	0.2609399657
766	0.2608474576
767	0.26062862
768	0.2604430254
769	0.2600967414
770	0.259908242
771	0.2597600412
772	0.2595332878
773	0.2593223518
774	0.2591144794
775	0.2590005364
776	0.258830112
777	0.2586552029
778	0.2585688308
779	0.2582066413
780	0.2581317047
781	0.257846068
782	0.2576548562
783	0.2574080743
784	0.2572753817
785	0.2569755103
786	0.2568284089
787	0.256563908
788	0.2564239226
789	0.25617291
790	0.2560561069
791	0.255982198
792	0.2558805084
793	0.2557574136
794	0.2554778654
795	0.2553003181
796	0.2549723146
797	0.2548157278
798	0.2546644781
799	0.2544337977
800	0.2541987803
801	0.2539108307
802	0.2537983972
803	0.2537401331
804	0.2535267961
805	0.2532404989
806	0.2530113631
807	0.2527372906
808	0.2525947829
809	0.2524876799
810	0.2523874182
811	0.2521869885
812	0.2520984317
813	0.2518931639
814	0.25162962
815	0.2514810144
816	0.2513571284
817	0.2512129011
818	0.251095457
819	0.2509455194
820	0.2508051475
821	0.2507541448
822	0.2507009472
823	0.2504931817
824	0.250333708
825	0.2501560955
826	0.2500406282
827	0.2499138337
828	0.2497868711
829	0.2497076395
830	0.2495256459
831	0.2493269099
832	0.2492253448
833	0.2490184824
834	0.2488175326
835	0.2487564195
836	0.2485713248
837	0.2483810131
838	0.24827959
839	0.2481338058
840	0.2479937618
841	0.24788853
842	0.2476485808
843	0.247482392
